repository_name,repository_url,commit_id,parent_commit_id,commit_url
apereo/cas,https://github.com/apereo/cas,5f1259d6f289fadb2323eedba4cc1cec9fc6c8d2,20f800f79d42afe964e86d72b672ddf31396c026,https://github.com/apereo/cas/commit/5f1259d6f289fadb2323eedba4cc1cec9fc6c8d2
apache/Cxf,https://github.com/apache/Cxf,84fbb4efc083a261b5ff3b567e02766b05b52fad,e54c50febc858332c39c77d9d429cf4205318a13,https://github.com/apache/Cxf/commit/84fbb4efc083a261b5ff3b567e02766b05b52fad
apache/Flink,https://github.com/apache/Flink,17e3576d0380d2a9079634de3b8d2bc8d6c3454f,d9c7f97790a8d396ffed59feee6b3e0c523aa173,https://github.com/apache/Flink/commit/17e3576d0380d2a9079634de3b8d2bc8d6c3454f
jhy/jsoup,https://github.com/jhy/jsoup,7d46675bef8cf12397466b8a67599a792fa92b06,84fd43766992401057b73f740acec4b82f1e3dd6,https://github.com/jhy/jsoup/commit/7d46675bef8cf12397466b8a67599a792fa92b06
apache/kafka,https://github.com/apache/kafka,af983267be7a2d0f81527f5a348af377f30caee4,515ce21c74743171df6cb069b4754f68fe7f2233,https://github.com/apache/kafka/commit/af983267be7a2d0f81527f5a348af377f30caee4
apache/struts,https://github.com/apache/struts,ec3532f30ae5b74e76772eabcac57a885cd1ca4f,9053c84d505dfbcca0f1452b8ee2f2adbb5e54a5,https://github.com/apache/struts/commit/ec3532f30ae5b74e76772eabcac57a885cd1ca4f
apache/beam,https://github.com/apache/beam,0feb64994a05de4fe6b1ba178a38d03743b89b7a,5c23f4954ed04b7e271b84f0f639410e76a6285e,https://github.com/apache/beam/commit/0feb64994a05de4fe6b1ba178a38d03743b89b7a
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,a982545d203f2af67246c46d0485a29843315f91,d2ff52fcf36f1c2b2f7afb5857554933f5123c51,https://github.com/cloudfoundry/uaa/commit/a982545d203f2af67246c46d0485a29843315f91
apache/hive,https://github.com/apache/hive,80289076599f1e73aa526d33172de2294754fe07,3414759acee2247c4943c13b14c2eb452944d828,https://github.com/apache/hive/commit/80289076599f1e73aa526d33172de2294754fe07
INRIA/spoon,https://github.com/INRIA/spoon,e7f2786ad251f2cbb77094169ffc1958be1b754d,1414068c74b83d4ed87daafadc3d2058a90cb76b,https://github.com/INRIA/spoon/commit/e7f2786ad251f2cbb77094169ffc1958be1b754d
neo4j/neo4j,https://github.com/neo4j/neo4j,cd4ad7584e43ecfe14aeed3daeddfba466043dd1,cdf8eaae62467ffcdbc187e4af1f15e50b399a2b,https://github.com/neo4j/neo4j/commit/cd4ad7584e43ecfe14aeed3daeddfba466043dd1
OpenRefine/OpenRefine,https://github.com/OpenRefine/OpenRefine,259705ad5f33b185bfa4bb0384787e68d31095b3,42e840dec62e454cb252748b482311238fb5f293,https://github.com/OpenRefine/OpenRefine/commit/259705ad5f33b185bfa4bb0384787e68d31095b3
INRIA/spoon,https://github.com/INRIA/spoon,adf6d34131dd6eb539a821cb7ebbf9c2336a8ed8,e1fdd3e5ef9406fa6c950929607b9f24232b647e,https://github.com/INRIA/spoon/commit/adf6d34131dd6eb539a821cb7ebbf9c2336a8ed8
